TimeStamp, Joint1Tx,Joint1Ty,Joint1Tz,Joint2Tx,Joint2Ty,Joint2Tz,Joint3Tx,Joint3Ty,Joint3Tz,Joint1Ix,Joint1Iy,Joint1Iz,Joint2Ix,Joint2Iy,Joint2Iz,Joint3Ix,Joint3Iy,Joint3Iz,Joint1Mx,Joint1My,Joint1Mz,Joint2Mx,Joint2My,Joint2Mz,Joint3Mx,Joint3My,Joint3Mz,Joint1Rx,Joint1Ry,Joint1Rz,Joint2Rx,Joint2Ry,Joint2Rz,Joint3Rx,Joint3Ry,Joint3Rz,Joint1Px,Joint1Py,Joint1Pz,Joint2Px,Joint2Py,Joint2Pz,Joint3Px,Joint3Py,Joint3Pz,ThumbClosure,IndexClosure,MiddleClosure,ThumbAbduction
104.5752,-47.50464,140.4221,-27.29877,-18.25995,126.5481,-14.30234,-1.913971,123.2572,-10.1673,48.91808,-87.4299,-5.246185,73.00208,98.45811,-175.4412,16.26128,91.20644,-178.05,55.78959,-73.84244,7.93532,57.12246,89.90461,170.2695,-16.22867,98.26423,174.9493,57.01852,-48.51935,27.42171,48.00662,94.39185,159.5043,-8.300018,116.1199,164.513,52.55714,-33.3819,38.46279,53.05054,89.96297,144.1939,-10.70984,126.4621,157.2736,0.5333334,0.5764706,0.682353,1
104.6263,-47.50464,140.4221,-27.29874,-16.55798,126.0956,-14.16693,1.334078,122.569,-10.13815,51.92846,-87.7056,-5.083038,65.67534,96.30385,-177.2101,5.294091,90.61821,-177.8662,62.58648,-71.35565,10.19808,41.99162,93.19305,172.8149,-40.70538,100.8924,173.9369,63.01099,-40.08264,34.4986,32.92692,101.0386,163.0334,-30.74854,124.2204,160.19,57.80561,-22.79886,46.24225,39.09042,102.6497,151.5821,-32.75323,139.5325,151.2466,0.5647059,0.6117647,0.7607843,1
104.6776,-47.50464,140.4221,-27.29874,-15.56091,125.8344,-14.09467,3.241481,122.1656,-10.13791,54.63475,-87.95499,-4.943024,59.08601,95.11598,-178.0587,-4.562347,90.05688,-177.6419,68.2124,-68.25763,13.06963,29.1103,94.97543,173.8728,-61.32513,105.1435,170.8433,67.45242,-30.37228,43.01937,20.09179,105.416,164.3799,-48.82794,135.4944,151.8222,61.41746,-11.64465,55.06016,26.85237,110.493,154.3574,-49.54431,157.0778,139.0576,0.5882353,0.6509804,0.8431373,1
104.7278,-47.50464,140.4221,-27.29877,-15.39648,125.7916,-14.08325,3.556355,122.0989,-10.13907,56.77723,-88.15424,-4.837006,53.87456,94.41256,-178.4972,-12.35928,89.57558,-177.4149,71.52683,-65.61221,15.5611,21.34848,95.85335,174.2631,-73.54578,111.8427,164.7935,69.74151,-22.96994,49.68325,12.38898,107.8285,164.7389,-58.68463,147.1475,141.8739,63.10184,-3.866119,61.44085,19.45379,114.6485,155.1108,-57.57721,173.9092,125.3673,0.5921569,0.6862745,0.9019608,1
104.7795,-47.50464,140.4221,-27.29874,-15.39648,125.7916,-14.08325,3.55635,122.0989,-10.13907,59.16202,-88.37888,-4.724609,48.08322,93.77229,-178.8455,-21.02759,88.98168,-177.0944,74.45643,-62.3656,18.65653,14.34533,96.57658,174.5065,-83.72369,138.8173,138.3899,71.48486,-15.08694,56.88215,5.470209,109.9581,164.8288,-65.98657,164.4221,126.1401,64.24083,3.790707,67.83731,12.80034,118.2333,155.3359,-62.07617,-164.9076,107.0365,0.5921569,0.7176471,0.9411765,1
104.8315,-47.13351,141.6128,-27.6857,-14.61481,126.6624,-14.41058,4.763289,122.7764,-10.51312,60.99724,-88.5545,-4.642639,43.63535,93.34752,-179.047,-27.68814,88.46486,-176.7825,76.78722,-58.74985,22.13969,8.635652,97.13705,174.643,-83.9856,-125.245,42.9142,72.63342,-7.770966,63.62569,-0.1434937,111.701,164.7502,-69.65192,-174.3155,106.1501,64.87206,10.39665,73.41336,7.40657,121.1178,155.2343,-62.86151,-144.6613,89.16451,0.6039216,0.7450981,0.9803922,0.9843137
104.8848,-46.14648,144.4692,-28.60431,-12.54971,128.7126,-15.22336,7.941876,124.3014,-11.48178,62.29723,-88.68076,-4.587219,40.49028,93.07254,-179.1642,-32.39935,88.05543,-176.5161,77.90831,-56.49503,24.32602,5.825577,97.40703,174.6921,-80.23431,-106.7643,24.66135,73.09649,-3.890564,67.21896,-2.895966,112.5702,164.662,-70.28961,-161.8603,94.32993,65.07873,13.73432,76.24268,4.765782,122.5416,155.0941,-62.19043,-134.7927,80.48937,0.6509804,0.7764706,1,0.9254902
104.9396,-43.71661,150.1716,-30.39539,-7.988098,132.733,-17.02814,14.73823,127.0124,-13.8056,64.61348,-88.91064,-4.494934,34.89941,92.62255,-179.3336,-40.77682,87.19954,-175.9114,77.90829,-56.49506,24.32601,5.825585,97.40703,174.6921,-80.23431,-106.7643,24.66137,73.09645,-3.890564,67.21896,-2.895966,112.5702,164.662,-70.28964,-161.8603,94.32994,65.0787,13.73431,76.24268,4.765778,122.5416,155.0941,-62.1904,-134.7927,80.48936,0.7019608,0.8,1,0.8588235
104.9896,-41.255,154.7133,-31.79172,-3.823242,135.8161,-18.71204,20.70903,128.6717,-16.21622,65.8868,-89.04028,-4.448181,31.83377,92.39229,-179.4094,-45.37103,86.63223,-175.4807,77.90831,-56.49503,24.32601,5.825584,97.40704,174.6921,-80.23425,-106.7643,24.66133,73.09645,-3.890564,67.21896,-2.895966,112.5702,164.662,-70.28961,-161.8603,94.32993,65.0787,13.73431,76.24268,4.765785,122.5416,155.0941,-62.19043,-134.7927,80.48938,0.7607843,0.8196079,1,0.7803922
105.0445,-38.59781,158.7039,-33.03171,0.3728409,138.3476,-20.47968,26.53259,129.4643,-19.03052,67.4016,-89.19839,-4.396973,28.19434,92.13071,-179.4868,-50.82449,85.82553,-174.8354,77.90829,-56.49506,24.32599,5.825587,97.40703,174.6921,-80.23431,-106.7643,24.66136,73.09645,-3.890564,67.21896,-2.895966,112.5702,164.662,-70.28964,-161.8603,94.32995,65.07873,13.73431,76.24268,4.765784,122.5416,155.0941,-62.19043,-134.7927,80.48938,0.8196079,0.8431373,1,0.7019608
